[I] 2024/08/10 13:13:12.057+0300 [              engine] loading settings
[I] 2024/08/10 13:13:12.124+0300 [              window] max texture size is 16384
[I] 2024/08/10 13:13:12.125+0300 [              window] GL Vendor: Intel
[I] 2024/08/10 13:13:12.125+0300 [              window] GL Renderer: Mesa Intel(R) Graphics (RKL GT1)
[I] 2024/08/10 13:13:12.125+0300 [              window] GLFW: 3.3.2 X11 GLX EGL OSMesa clock_gettime evdev shared
[I] 2024/08/10 13:13:12.126+0300 [              engine] loading controls
[I] 2024/08/10 13:13:12.167+0300 [            al-audio] initialized
[I] 2024/08/10 13:13:12.167+0300 [            al-audio] max mono sources: 255
[I] 2024/08/10 13:13:12.167+0300 [            al-audio] devices:
[I] 2024/08/10 13:13:12.167+0300 [            al-audio]   OpenAL Soft
[I] 2024/08/10 13:13:12.169+0300 [              locale] locales [fi_FI (Suomi)] [uk_UA (Українська)] [pl_PL (Polski)] [ru_RU (Русский)] [en_US (English)] [de_DE (Deutsch)] [be_BY (Беларуская)] added
[I] 2024/08/10 13:13:12.169+0300 [           lua-state] Lua 5.1
[I] 2024/08/10 13:13:12.169+0300 [           lua-state] LuaJIT 2.1.0-beta3
[I] 2024/08/10 13:13:12.171+0300 [              engine] starting menu screen
[I] 2024/08/10 13:13:12.171+0300 [              locale] locales [fi_FI (Suomi)] [uk_UA (Українська)] [pl_PL (Polski)] [ru_RU (Русский)] [en_US (English)] [de_DE (Deutsch)] [be_BY (Беларуская)] added
[I] 2024/08/10 13:13:12.171+0300 [              engine] loading assets
[I] 2024/08/10 13:13:12.171+0300 [       assets-loader] loading textures/blocks as blocks
[I] 2024/08/10 13:13:12.173+0300 [       assets-loader] loading textures/items as items
[I] 2024/08/10 13:13:12.175+0300 [       assets-loader] loading fonts/font as normal
[I] 2024/08/10 13:13:12.181+0300 [       assets-loader] loading shaders/ui as ui
[I] 2024/08/10 13:13:12.187+0300 [       assets-loader] loading shaders/main as main
[I] 2024/08/10 13:13:12.188+0300 [       assets-loader] loading shaders/lines as lines
[I] 2024/08/10 13:13:12.188+0300 [       assets-loader] loading textures/gui/menubg as gui/menubg
[I] 2024/08/10 13:13:12.188+0300 [       assets-loader] loading textures/gui/delete_icon as gui/delete_icon
[I] 2024/08/10 13:13:12.189+0300 [       assets-loader] loading textures/gui/no_icon as gui/no_icon
[I] 2024/08/10 13:13:12.189+0300 [       assets-loader] loading textures/gui/no_world_icon as gui/no_world_icon
[I] 2024/08/10 13:13:12.189+0300 [       assets-loader] loading textures/gui/warning as gui/warning
[I] 2024/08/10 13:13:12.189+0300 [       assets-loader] loading textures/gui/error as gui/error
[I] 2024/08/10 13:13:12.189+0300 [       assets-loader] loading textures/gui/cross as gui/cross
